"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"SPICEPREFIX";
"1";"";"JP1Q";"JP1";"JP2";"JUMPER";"";"";"";"";"";
"1";"";"JP4Q";"JP4Q";"JP1";"JUMPER";"";"";"";"";"";
"1";"";"LED5MM";"LED5MM";"LED1";"LED";"";"";"";"";"";
"1";"";"M9040P";"M9040P";"S1";"TOGGLE SWITCH";"";"";"";"";"";
"2";"1-227161-0";"1-227161-0";"AMP_227161";"X1, X2";"JACK,  RIGHT ANGLE, 50 OHM, PCB, BNC";"TYCO ELECTRONICS";"1-227161";"unknown";"33B3200";"";
"2";"100";"R-US_0204/7";"0204/7";"R17, R18";"RESISTOR, American symbol";"";"";"";"";"R";
"1";"100k";"3RP/1610N";"3RP/1610N";"R12";"16mm Potentiometer one level";"";"";"";"";"";
"2";"100n";"C-EU050-024X044";"C050-024X044";"C2, C6";"CAPACITOR, European symbol";"";"";"";"";"C";
"1";"10R";"R-US_0204/7";"0204/7";"R1";"RESISTOR, American symbol";"";"";"";"";"R";
"2";"10k";"3RP/1610N";"3RP/1610N";"R2, R11";"16mm Potentiometer one level";"";"";"";"";"";
"4";"10k";"R-US_0204/7";"0204/7";"R4, R5, R13, R16";"RESISTOR, American symbol";"";"";"";"";"R";
"1";"10n";"C-EU050-024X044";"C050-024X044";"C3";"CAPACITOR, European symbol";"";"";"";"";"C";
"1";"10u";"CPOL-EUE2.5-6";"E2,5-6";"C7";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"C";
"4";"1k";"R-US_0204/7";"0204/7";"R3, R6, R7, R9";"RESISTOR, American symbol";"";"";"";"";"R";
"1";"1n";"C-EU050-024X044";"C050-024X044";"C4";"CAPACITOR, European symbol";"";"";"";"";"C";
"1";"1u";"C-EU050-024X044";"C050-024X044";"C1";"CAPACITOR, European symbol";"";"";"";"";"C";
"1";"1u";"CPOL-EUE2.5-6";"E2,5-6";"C10";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"C";
"2";"220u";"CPOL-EUE3.5-8";"E3,5-8";"C8, C9";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"C";
"1";"25k";"3RP/1610N";"3RP/1610N";"R14";"16mm Potentiometer one level";"";"";"";"";"";
"1";"25k";"TRIM_EU-RJ9W";"RJ9W";"R8";"POTENTIOMETER";"";"";"";"";"";
"1";"3k3";"R-US_0204/7";"0204/7";"R10";"RESISTOR, American symbol";"";"";"";"";"R";
"1";"470u";"CPOL-EUE3.5-8";"E3,5-8";"C5";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"C";
"1";"500R";"TRIM_EU-RJ9W";"RJ9W";"R15";"POTENTIOMETER";"";"";"";"";"";
"1";"AB9V";"AB9V";"AB9V";"G1";"9-V BATTERY CLIP";"";"";"";"";"";
"1";"J10MM";"J10MM";"10";"J1";"Bridge";"";"";"";"";"";
"1";"NE5532N";"NE5532N";"DIL08";"IC1";"AUDIO AMPLIFIER";"";"";"";"";"";
"1";"OSHW-LOGOL";"OSHW-LOGOL";"OSHW-LOGO-L";"U$4";"Open Source Hardware Logo This logo indicates the piece of hardware it is found on incorporates a OSHW license and/or adheres to the definition of open source hardware found here: http://freedomdefined.org/OSHW";"";"";"";"";"";
"1";"UTN_LOGO_0";"UTN_LOGO_0";"UTN_LOGO_0_TOP";"U$1";"";"";"";"";"";"";
"1";"XR2206";"XR2206";"DIL16";"U1";"XR2206 Monolithic Function Generator";"";"";"";"";"";
